,Score Prédit,Vrai Score
0,6.3386998749244015,7.0
1,5.264645429467436,6.0
2,5.6031139791863325,6.0
3,4.7819593906139914,5.0
4,4.992541799095477,4.0
5,6.8585863814356,7.0
6,6.170691105326,6.0
7,5.605002025174144,5.0
8,5.642139345221835,5.0
9,6.327898834028758,6.0
10,6.118155617884952,8.0
11,5.472823787894299,5.0
12,6.717572502751636,6.0
13,6.8268233535965805,6.0
14,5.899556150198521,5.0
15,6.408787221499125,6.0
16,5.811103720295648,7.0
17,5.6591217223091235,5.0
18,6.236356594856517,6.0
19,6.676483886477001,6.0
20,7.082296556653546,7.0
21,5.545094913569812,6.0
22,6.084821054769407,6.0
23,5.2258525696111064,5.0
24,6.074172213554107,6.0
25,6.018442258668017,7.0
26,6.113932028610549,6.0
27,5.212126564742988,5.0
28,7.077203949009345,7.0
29,4.903188165649738,5.0
30,5.503791454883412,5.0
31,6.474681841554911,7.0
32,5.7644906866491965,5.0
33,6.142464722668308,6.0
34,5.980187513888666,6.0
35,6.111972780437554,6.0
36,6.362573761854605,6.0
37,4.765658315664524,5.0
38,5.74184025375493,5.0
39,6.728499769399463,7.0
40,5.458779395968662,5.0
41,5.351786520405824,5.0
42,6.6156675341085815,8.0
43,6.106650036792871,6.0
44,4.756415649224266,5.0
45,5.265611995802203,4.0
46,5.429359638380163,6.0
47,4.938318359114135,6.0
48,6.445488895487074,5.0
49,6.929929154940311,8.0
50,6.550329048157835,7.0
51,7.028558082708656,7.0
52,4.9179396512188305,5.0
53,5.917689497270544,6.0
54,5.52610297121069,5.0
55,6.334044819588769,7.0
56,4.956511098258687,6.0
57,6.916761328513644,7.0
58,7.089013121805692,7.0
59,6.182880319459855,5.0
60,6.6823014757216015,7.0
61,6.510867889495955,7.0
62,6.144603032894622,6.0
63,5.604446436763567,5.0
64,5.1796733725584545,5.0
65,5.916394635917868,6.0
66,5.451466768469118,6.0
67,5.994501767931752,6.0
68,5.75952589273146,5.0
69,5.503128280050589,6.0
70,6.777212378928027,6.0
71,6.771875054782356,7.0
72,5.219670387338965,7.0
73,6.429290516122649,6.0
74,5.829579623842392,6.0
75,6.081396465705552,6.0
76,7.0412721571803445,7.0
77,7.0703334300521306,7.0
78,6.264107889106953,6.0
79,5.977172589172341,6.0
80,6.288899227742775,6.0
81,5.935840717949702,8.0
82,6.849474824998083,8.0
83,5.240307290623491,5.0
84,6.706268027941462,5.0
85,4.961172837983412,5.0
86,7.10366828759544,6.0
